BarrettCottonwood Creek,719,44/760,444/040,City of San Diego
Bass Lake (Crane Valley)North Fork Willow Creek,300,45/400,45/100,Pacific Gas andElectric Co
BearBear River,0,7/700,7/700,Corps of Engineers
Bear RiverBear River,-,6/760,-,Pacific Gas andElectric Co
Beardsley LakeMiddle Fork Stanislaus,0,98/300,98/300,Oakdale-South SanJoaquin Irrig Dists
Big Bear LakeBear Creek,0,72/200,72/200,Bear Valley MutualWater Co / Ltd
Big Creek No 7 (Redinger Lake)San Juaquin River,8/914,35/033,26/119,Southern CaliforniaEdison Co
Big Dobe-NorthRattlesnake Creek,-,6/530,-,David J Bayne
Big Dry CreekBig Dry Creek,0,16/250,16/250,Corps of Engineers
Big SageRattlesnake Creek,-,77/000,-,Hot Springs ValleyIrrigation District
Black ButteStony Creek,10/000,160/000,150/000,Corps of Engineers
Blue Lake (Lower)Blue Creek,-,-,-,Pacific Gas andElectric Co
Blue Lake (Upper)Blue Creek,-,-,-,Pacific Gas andElectric Co
BocaLittle Truckee River,240,41/140,40/900,Washoe County Con-servation District
BouquetBouquet Creek,2/000,36/505,34/505,City of Los Angeles
Bowman LakeCanyon Creek,0,68 / 200,68/200,Nevada IrrigationDistrict
BridgeportEast Walker River,0,42/460,42/460,-
BucksBucks Creek,-,5/843,-,Pacific Gas andElectric Co
Bucks LakeBucks Creek,274,-,-,Pacific Gas andElectric Co
Buena Vista LakeKern River,0,205 /000,205/000,Buena Vista WaterStorage District
Bullards BarNorth Fork Yuba River,-,31/489,-,Pacific Gas andElectric Co
BurnsBurns Creek,4,6/800,6/800,Corps of Engineers
Butt ValleyButt Creek,-,49/800,-,Pacific Gas andElectric Co
CalaverasCalaveras Creek,-,-,96/800,City of SanFrancisco
CaleroArroyo Calero,°,9/630,9/630,Santa Clara ValleyWater Conser-vation District
CamancheMokelumne,°,431/500,432/500,Corps of Engineers
Carbon CanyonCarbon Canyon Creek,0,7/050,7/050,Corps of Engineers
CasitasCoyote Creek,3/200,267/000,263 /800,Bureau ofReclamation
Chabot (Lower San Leandro Dam)San Leandro Creek,-,-,-,East Bay MunicipalUtility District
ChatsworthTributary to Los Angeles River,0,9/886,9/886,City of Los angeles
Cherry LakeCherry Creek,20,268/ 200,268/200,City of SanFrancisco
/  ChesbroLlagas Creek,°,7/800,7/500,Santa Clara WaterConserv District
Chet Harrit:Quail Canyon Creek,750,10/500,9/750,Helix IrrigationDistrict
Clear LakeCache Creek,-,-,319/000,Clear Lake WaterCo
Clear LakeLost River,13/450,526/770,513 /520,Bureau ofReclamation
1 Cogswell (formerly San Gabriel No 2)West Fork San Gabriel River,35,10/630,10/595,Los Angeles CountyFlood Control Dist
Combie (Van Geisen)Bear River,0,47/840,7/840,Nevada IrrigationDistrict
Copco No 1Klamath River,72/000,77/000,ab 5/000,California-OregonPower Co
Copco No 2Klamath River,-,58 /000,-,Pacific Power andLight Co
